date,test,case,death,recovered
2020-03-13,0,5,,
2020-03-14,0,6,,
2020-03-15,0,7,,
2020-03-16,0,31,,
2020-03-17,0,49,1,
2020-03-18,0,93,1,
2020-03-19,1981,168,2,
2020-03-20,3656,311,5,
2020-03-21,2970,277,12,
2020-03-22,1738,289,9,
2020-03-23,3672,293,7,
2020-03-24,3952,343,7,26
2020-03-25,5035,561,15,
2020-03-26,7286,1196,16,
2020-03-27,7533,2069,17,16
2020-03-28,7641,1704,16,28
2020-03-29,9982,1815,23,35
2020-03-30,11535,1610,37,57
2020-03-31,15422,2704,46,81
2020-04-01,14396,2148,63,90
2020-04-02,18757,2456,79,82
2020-04-03,16160,2786,69,69
2020-04-04,19664,3013,76,302
2020-04-05,20065,3135,73,256
2020-04-06,21400,3148,75,284
2020-04-07,20023,3892,76,256
2020-04-08,24900,4117,87,264
2020-04-09,28578,4056,96,296
2020-04-10,30864,4747,98,281
2020-04-11,33170,5138,95,542
2020-04-12,35720,4789,97,481
2020-04-13,34456,4093,98,511
2020-04-14,33070,4062,107,842
2020-04-15,34090,4281,115,875
2020-04-16,40427,4801,125,1415
2020-04-17,40270,4353,126,1542
2020-04-18,40520,3783,121,1822
2020-04-19,35344,3977,127,1523
2020-04-20,39703,4674,123,1454
2020-04-21,39429,4611,119,1488
2020-04-22,37535,3083,117,1559
2020-04-23,40962,3116,115,2014
2020-04-24,38351,3122,109,3246
2020-04-25,38308,2861,106,3845
2020-04-26,30177,2357,99,3558
2020-04-27,20143,2131,95,4651
2020-04-28,29230,2392,92,5018
2020-04-29,43498,2936,89,5231
2020-04-30,42004,2615,93,4846
2020-05-01,41431,2188,84,4922
2020-05-02,36318,1983,78,4451
2020-05-03,24001,1670,61,4892
2020-05-04,35771,1614,64,5015
2020-05-05,33283,1832,59,5119
2020-05-06,30303,2253,64,4917
2020-05-07,30395,1977,57,4782
2020-05-08,33687,1848,48,3412
2020-05-09,35605,1546,50,3084
2020-05-10,36187,1542,47,3211
2020-05-11,32722,1114,55,3089
2020-05-12,37351,1704,53,3109
2020-05-13,33332,1639,58,2826
2020-05-14,34821,1635,55,2315
2020-05-15,38565,1708,48,2103
2020-05-16,42236,1610,41,2004
2020-05-17,35369,1368,44,1825
2020-05-18,25141,1158,31,1615
2020-05-19,25382,1022,28,1318
2020-05-20,20838,972,23,1092
2020-05-21,33633,961,27,1003
2020-05-22,37507,952,27,1121
2020-05-23,40178,1186,32,1491
2020-05-24,24589,1141,32,1092
2020-05-25,21492,987,29,1321
2020-05-26,19853,948,28,1492
2020-05-27,21043,1035,34,1286
2020-05-28,33559,1182,30,1576
2020-05-29,36155,1141,28,1594
2020-05-30,39230,983,26,1021
2020-05-31,35600,839,25,989
2020-06-01,31525,827,23,974
2020-06-02,32325,786,22,974
2020-06-03,52305,867,24,931
2020-06-04,54234,988,21,926
2020-06-05,57829,930,18,1622
2020-06-06,35846,878,21,1922
2020-06-07,35335,914,23,2647
2020-06-08,39361,989,19,3411
2020-06-09,37225,993,18,3218
2020-06-10,36521,922,17,2241
2020-06-11,49190,987,17,1021
2020-06-12,41013,1195,15,1242
2020-06-13,45092,1459,14,985
2020-06-14,45176,1562,15,1330
2020-06-15,42032,1592,18,947
2020-06-16,46800,1467,17,1015
2020-06-17,52901,1429,19,1261
2020-06-18,48412,1304,21,1382
2020-06-19,41316,1214,23,1494
2020-06-20,41112,1248,22,1312
2020-06-21,40496,1192,23,1412
2020-06-22,41413,1212,24,1293
2020-06-23,42982,1268,27,1315
2020-06-24,53486,1492,24,1386
2020-06-25,52303,1458,21,1472
2020-06-26,51198,1396,19,1492
2020-06-27,45213,1372,17,1984
2020-06-28,48309,1356,15,1413
2020-06-29,51014,1374,18,1214
2020-06-30,50492,1293,16,1302
2020-07-01,52313,1192,19,2311
2020-07-02,49714,1186,17,1543
2020-07-03,52141,1172,19,1313
2020-07-04,48248,1154,20,1214
2020-07-05,46414,1148,19,1188
2020-07-06,52193,1086,16,2315
2020-07-07,50545,1053,19,2297
2020-07-08,493002,1041,22,2219
2020-07-09,50103,1024,18,2879
2020-07-10,48787,1003,23,1493
2020-07-11,48813,1016,21,1334
2020-07-12,45232,1012,19,1298
2020-07-13,46492,1008,19,1156
2020-07-14,43231,992,20,1049
2020-07-15,42320,947,17,1013
2020-07-16,42411,933,21,1087
2020-07-17,41215,926,18,1014
2020-07-18,40943,918,17,1179
2020-07-19,41310,924,16,997
2020-07-20,43404,931,17,992
2020-07-21,42846,928,18,1009
2020-07-22,43404,902,19,1203
2020-07-23,43343,913,18,1151
2020-07-24,42986,937,17,1009
2020-07-25,43312,921,16,1103
2020-07-26,40016,927,17,1010
2020-07-27,45283,919,17,982
2020-07-28,47412,963,15,1092
2020-07-29,45712,942,14,996
2020-07-30,43236,967,15,982
2020-07-31,46492,982,17,996
2020-08-01,44846,996,19,981
2020-08-02,40247,987,18,978
2020-08-03,41301,995,19,1003
2020-08-04,46249,1083,18,994
2020-08-05,53842,1178,19,1015
2020-08-06,54494,1153,14,1040
2020-08-07,56726,1185,15,1028
2020-08-08,63842,1172,16,1082
2020-08-09,61446,1182,15,1103
2020-08-10,62219,1193,14,1211
2020-08-11,61716,1183,15,1185
2020-08-12,67237,1212,18,934
2020-08-13,66892,1243,21,968
2020-08-14,70192,1226,22,923
2020-08-15,67214,1255,21,992
2020-08-16,65956,1192,19,997
2020-08-17,74846,1233,22,1002
2020-08-18,82318,1263,20,942
2020-08-19,87223,1303,23,1002
2020-08-20,92301,1412,19,882
